MatchId,BotType,Result,TimeMs,TotalClicks
1,RandomBot,DEFEAT,13,1
2,RandomBot,DEFEAT,0,3
3,RandomBot,DEFEAT,0,3
4,RandomBot,DEFEAT,0,7
5,RandomBot,DEFEAT,0,2
6,RandomBot,DEFEAT,1,9
7,RandomBot,DEFEAT,1,11
8,RandomBot,DEFEAT,0,2
9,RandomBot,DEFEAT,0,1
10,RandomBot,DEFEAT,0,4
11,RandomBot,DEFEAT,0,4
12,RandomBot,DEFEAT,1,5
13,RandomBot,DEFEAT,0,2
14,RandomBot,DEFEAT,0,6
15,RandomBot,DEFEAT,0,1
16,RandomBot,DEFEAT,0,3
17,RandomBot,DEFEAT,0,2
18,RandomBot,DEFEAT,0,1
19,RandomBot,DEFEAT,0,4
20,RandomBot,DEFEAT,0,5
21,RandomBot,DEFEAT,0,3
22,RandomBot,DEFEAT,0,1
23,RandomBot,DEFEAT,0,3
24,RandomBot,DEFEAT,0,4
25,RandomBot,DEFEAT,0,2
26,RandomBot,DEFEAT,1,3
27,RandomBot,DEFEAT,0,4
28,RandomBot,DEFEAT,0,4
29,RandomBot,DEFEAT,0,3
30,RandomBot,DEFEAT,0,6
31,RandomBot,DEFEAT,0,2
32,RandomBot,DEFEAT,0,7
33,RandomBot,DEFEAT,0,3
34,RandomBot,DEFEAT,0,1
35,RandomBot,DEFEAT,0,5
36,RandomBot,DEFEAT,1,3
37,RandomBot,DEFEAT,0,4
38,RandomBot,DEFEAT,0,3
39,RandomBot,DEFEAT,1,9
40,RandomBot,DEFEAT,0,2
41,RandomBot,DEFEAT,0,4
42,RandomBot,DEFEAT,0,2
43,RandomBot,DEFEAT,1,5
44,RandomBot,DEFEAT,0,2
45,RandomBot,DEFEAT,0,2
46,RandomBot,DEFEAT,0,5
47,RandomBot,DEFEAT,0,4
48,RandomBot,DEFEAT,0,2
49,RandomBot,DEFEAT,0,5
50,RandomBot,DEFEAT,0,5
51,RandomBot,DEFEAT,0,2
52,RandomBot,DEFEAT,0,4
53,RandomBot,DEFEAT,0,7
54,RandomBot,DEFEAT,1,6
55,RandomBot,DEFEAT,0,4
56,RandomBot,DEFEAT,0,2
57,RandomBot,DEFEAT,0,3
58,RandomBot,DEFEAT,0,6
59,RandomBot,DEFEAT,0,5
60,RandomBot,DEFEAT,0,4
61,RandomBot,DEFEAT,1,6
62,RandomBot,DEFEAT,0,1
63,RandomBot,DEFEAT,0,3
64,RandomBot,DEFEAT,0,2
65,RandomBot,DEFEAT,0,6
66,RandomBot,DEFEAT,0,4
67,RandomBot,DEFEAT,0,2
68,RandomBot,DEFEAT,0,5
69,RandomBot,DEFEAT,0,1
70,RandomBot,DEFEAT,0,6
71,RandomBot,DEFEAT,0,3
72,RandomBot,DEFEAT,0,2
73,RandomBot,DEFEAT,0,4
74,RandomBot,DEFEAT,0,7
75,RandomBot,DEFEAT,0,3
76,RandomBot,DEFEAT,0,3
77,RandomBot,DEFEAT,0,3
78,RandomBot,DEFEAT,0,3
79,RandomBot,DEFEAT,0,7
80,RandomBot,DEFEAT,0,8
81,RandomBot,DEFEAT,0,2
82,RandomBot,DEFEAT,0,7
83,RandomBot,DEFEAT,0,6
84,RandomBot,DEFEAT,1,2
85,RandomBot,DEFEAT,0,2
86,RandomBot,DEFEAT,0,3
87,RandomBot,DEFEAT,0,10
88,RandomBot,DEFEAT,0,2
89,RandomBot,DEFEAT,0,2
90,RandomBot,DEFEAT,0,6
91,RandomBot,DEFEAT,0,3
92,RandomBot,DEFEAT,0,4
93,RandomBot,DEFEAT,0,2
94,RandomBot,DEFEAT,0,1
95,RandomBot,DEFEAT,0,4
96,RandomBot,DEFEAT,0,5
97,RandomBot,DEFEAT,0,2
98,RandomBot,DEFEAT,0,3
99,RandomBot,DEFEAT,0,1
100,RandomBot,DEFEAT,0,3
101,RandomBot,DEFEAT,0,4
102,RandomBot,DEFEAT,0,3
103,RandomBot,DEFEAT,0,2
104,RandomBot,DEFEAT,0,4
105,RandomBot,DEFEAT,0,2
106,RandomBot,DEFEAT,0,5
107,RandomBot,DEFEAT,0,2
108,RandomBot,DEFEAT,0,3
109,RandomBot,DEFEAT,0,7
110,RandomBot,DEFEAT,0,8
111,RandomBot,DEFEAT,0,5
112,RandomBot,DEFEAT,0,1
113,RandomBot,DEFEAT,0,2
114,RandomBot,DEFEAT,0,2
115,RandomBot,DEFEAT,0,3
116,RandomBot,DEFEAT,0,2
117,RandomBot,DEFEAT,0,3
118,RandomBot,DEFEAT,0,5
119,RandomBot,DEFEAT,0,9
120,RandomBot,DEFEAT,0,1
121,RandomBot,DEFEAT,0,1
122,RandomBot,DEFEAT,0,4
123,RandomBot,DEFEAT,0,2
124,RandomBot,DEFEAT,0,4
125,RandomBot,DEFEAT,0,2
126,RandomBot,DEFEAT,0,1
127,RandomBot,DEFEAT,0,5
128,RandomBot,DEFEAT,0,7
129,RandomBot,DEFEAT,0,5
130,RandomBot,DEFEAT,0,7
131,RandomBot,DEFEAT,0,2
132,RandomBot,DEFEAT,0,3
133,RandomBot,DEFEAT,0,5
134,RandomBot,DEFEAT,0,5
135,RandomBot,DEFEAT,0,2
136,RandomBot,DEFEAT,0,2
137,RandomBot,DEFEAT,0,2
138,RandomBot,DEFEAT,0,5
139,RandomBot,DEFEAT,0,2
140,RandomBot,DEFEAT,0,2
141,RandomBot,DEFEAT,0,4
142,RandomBot,DEFEAT,1,2
143,RandomBot,DEFEAT,0,5
144,RandomBot,DEFEAT,0,2
145,RandomBot,DEFEAT,0,5
146,RandomBot,DEFEAT,0,3
147,RandomBot,DEFEAT,0,1
148,RandomBot,DEFEAT,1,8
149,RandomBot,DEFEAT,0,4
150,RandomBot,DEFEAT,0,1
151,RandomBot,DEFEAT,0,2
152,RandomBot,DEFEAT,0,6
153,RandomBot,DEFEAT,0,2
154,RandomBot,DEFEAT,0,4
155,RandomBot,DEFEAT,0,9
156,RandomBot,DEFEAT,0,1
157,RandomBot,DEFEAT,0,3
158,RandomBot,DEFEAT,0,3
